rlSreg,rlSregDeno,Tipo,rlReg,rlRegDeno,rlInfo,rlEntity
1,AGRICULTURA ECOLÓGICA,1,,,,
1OP,Globalgap 1º Opción,2,2,GLOBALGAP,GGN,Operator
2OP,Globalgap 2º Opción,2,2,GLOBALGAP,GGN,Operator
AAE,ALIMENTACION ANIMAL,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Operator
AC,Aves de Corral,2,5,AVES DE CORRAL,PRODUCTO,CultivosRec
AOA,DOP ACEITE DE LA ALCARRIA,2,10,D.O.P.,ACTIVIDAD,Operator
AOC,DOP ACEITE CAMPO DE CALATRAVA,2,10,D.O.P.,ACTIVIDAD,Operator
API,API,2,4,PRODUCCIÓN INTEGRADA,TIPO DE CULTIVO,CultivosRec2
BSS,BIOSUISSE,2,8,BIOSSUISE,NADA,NULL
CAE,COMERCIALIZADORES,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Operator
COP,COMERCIALIZADOR DOP PIMENTON DE MURCIA,2,10,D.O.P.,ACTIVIDAD,Operator
DAE,Distribuidores ecológicos,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Operator
EOZ,REGISTRO ELABORADOR DE AZAFRAN,2,10,D.O.P.,ACTIVIDAD,Operator
FAE,FINCAS DE AGRICULTURA ECOLÓGICA,2,1,AGRICULTURA ECOLÓGICA,PRODUCTOS(solo ecologicos),CultivosRec
FHC,FINCA HUEVOS CAMPEROS,2,13,HUEVOS CAMPEROS,PRODUCTO,CultivosRec
FPI,FINCAS DE PRODUCCIÓN INTEGRADA,2,4,PRODUCCIÓN INTEGRADA,TIPO DE CULTIVO,CultivosRec2
GAC,Ganaderia Aves de Corral,2,5,AVES DE CORRAL,PRODUCTO,Avescorral
GAE,GANADERÍA ECOLÓGICA,2,1,AGRICULTURA ECOLÓGICA,PRODUCTOS(solo ecologicos),Ganaderias
GHC,GANADERIA HUEVOS CAMPEROS,2,13,HUEVOS CAMPEROS,PRODUCTO,Ganaderias
GRASP,GRASP,2,2,GLOBALGAP,GGN,Operator
IAC,Industria Ave de Corral,2,5,AVES DE CORRAL,ACTIVIDAD,Industrias
IAE,INDUSTRIA,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Industrias
IAM,Industria Agua Mineral,2,9,AGUA MINERAL,ACTIVIDAD,Industrias
ICG,Industria de Calidad de Granada,2,3,VINOS,ACTIVIDAD,Industrias
ICU,Vinos Cueva,2,3,VINOS,ACTIVIDAD,Industrias
IFS,IFS FOOD,2,IFS,IFS,ACTIVIDAD,Industrias
IGS,Industria I.G.P. Cordero Segureño,2,11,I.G.P.,ACTIVIDAD,Industrias
IHC,INDUSTRIA HUEVOS CAMPEROS,2,13,HUEVOS CAMPEROS,ACTIVIDAD,Industrias
IML,Industria Melón de la Mancha,2,11,I.G.P.,ACTIVIDAD,Industrias
IOA,Vinos D.O.P. Almansa,2,3,VINOS,ACTIVIDAD,Industrias
IOB,Vino D.O.P. Pago Casa del Blanco,2,3,VINOS,ACTIVIDAD,Industrias
IOG,Vinos D.O.P. Pago Campo de La Guardia,2,3,VINOS,ACTIVIDAD,Industrias
IOH,Vinos D.O.P. La Manchuela,2,3,VINOS,ACTIVIDAD,Industrias
IOM,Vinos D.O.P. La Mancha,2,3,VINOS,ACTIVIDAD,Industrias
IOP,INDUSTRIA DOP PIMENTON DE MURCIA,2,10,D.O.P.,ACTIVIDAD,Industrias
IOR,Vinos D.O.P. Ribera de Jucar,2,3,VINOS,ACTIVIDAD,Industrias
IOT,VINOS D.O.P. Mentrida,2,3,VINOS,ACTIVIDAD,Industrias
IOU,Vinos D.O.P. Ucles,2,3,VINOS,ACTIVIDAD,Industrias
IOV,Vinos D.O.P. Valdepeñas,2,3,VINOS,ACTIVIDAD,Industrias
IOZ,REGISTRO INDUSTRIA DE AZAFRAN,2,10,D.O.P.,ACTIVIDAD,Industrias
IPI,INDUSTRIA PRODUCCIÓN INTEGRADA,2,4,PRODUCCIÓN INTEGRADA,ACTIVIDAD,Industrias
ISL,INDUSTRIA DE SAL,2,SL,SAL,ACTIVIDAD,Industrias
IVA,ALTIPLANO DE SIERRA NEVADA,2,3,VINOS,ACTIVIDAD,Industrias
IVC,INDUSTRIAS CUMBRES DE GUADALFEO,2,3,VINOS,ACTIVIDAD,Industrias
IVC09,IND.VINO CONTRAVIESA-ALPUJARRA (2009),2,3,VINOS,ACTIVIDAD,Industrias
IVD,VINO DE LA TIERRA LADERAS DE GENIL,2,3,VINOS,ACTIVIDAD,Industrias
IVF,INDUSTRIA CUMBRES DEL GUADALFEO,2,3,VINOS,ACTIVIDAD,Industrias
IVG,INDUSTRIA VINO TIERRA GRANADA NORTE,2,3,VINOS,ACTIVIDAD,Industrias
IVH,"D.O ""MANCHUELA""",2,3,VINOS,ACTIVIDAD,Industrias
IVI,INDUSTRIA VINO DE LA TIERRA DE LOS PALACIOS,2,3,VINOS,ACTIVIDAD,Industrias
IVK,Industria Vino de la Tierra de Cádiz,2,3,VINOS,ACTIVIDAD,Industrias
IVL,Industria Vino de la Tierra de Laujar-Alpujarra,2,3,VINOS,ACTIVIDAD,Industrias
IVM,Vinos de la Tierra de Castilla Mancha,2,3,VINOS,ACTIVIDAD,Industrias
IVN,Industria Vino de la Tierra de la Sierra Norte de Sevilla,2,3,VINOS,ACTIVIDAD,Industrias
IVR,VINO DE LA TIERRA DE ALTIPLANO DE SIERRA NEVADA,2,3,VINOS,ACTIVIDAD,Industrias
IVS,Vino de la Tierra de la Sierra Norte de Sevilla OBSOLETO,2,3,VINOS,ACTIVIDAD,Industrias
IVV,VINOS VARIETALES,2,3,VINOS,ACTIVIDAD,Industrias
IVX,INDUSTRIA VINO DE LA TIERRA DE LAUJAR-ALPUJARRA,2,3,VINOS,ACTIVIDAD,Industrias
IVZ,Industria Vino de la Tierra de Cádiz,2,3,VINOS,ACTIVIDAD,Industrias
JAS,JAS,2,6,JAS,ACTIVIDAD,Industrias
NAE,INDUSTRIAS NO ALIMENTARIAS,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Industrias
NOP,NOP,2,7,NOP,ACTIVIDAD,Industrias
PAE,PRODUCTOS UTILIZABLES EN AGR. ECOLOGICA,2,1,AGRICULTURA ECOLÓGICA,MARCA COMERCIAL,ProductosPae
PAE,PRODUCTOS UTILIZABLES EN AGR. ECOLOGICA,2,9,AGRICULTURA ECOLÓGICA,MARCA COMERCIAL,ProductosPae
PVAE,Insumos para enológia ecológica,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Operator
SAE,RECOLECTORES PLANTAS SILVESTRES,2,1,AGRICULTURA ECOLÓGICA,PRODUCTOS(solo ecologicos),CultivosRec
TAE,IMPORTADORES DE PAÍSES TERCEROS,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Operator
UAE,Producción Acuicola,2,1,AGRICULTURA ECOLÓGICA,PRODUCTOS(solo ecologicos),Ganaderias
VAE,SEMILLEROS Y VIVEROS,2,1,AGRICULTURA ECOLÓGICA,ACTIVIDAD,Operator
VAF,CUMBRES DEL GUADALFEO,2,3,VINOS,ACTIVIDAD,Industrias
VAG,IGP CORDERO SEGUREÑO,2,11,I.G.P.,ACTIVIDAD,Industrias
